"id","SFirstName","SLastName","espnID","backgroundPicture","youtube1","youtube2","twitter","picture1","picture2"
"61","Thaddeus","Young","3244","thaddeus-young-nike-jersey.jpg","GdHQ_14eagM","AvTmGNKXACo","https://twitter.com/yungsmoove21",,
"62","Avery","Bradley","4240","averybradley.jpg","2mTKlW09NUM","U7CgoKyGwi4","https://twitter.com/avery0bradley?lang=en",,
"63","Jeff","Teague","4015","teague-1.jpg","PDSboVuUhw4","LhF-h9IrRBE","https://twitter.com/teague0?lang=en",,
"64","Zach","Randolph","1017","zachrandolph.jpg","B-lYD7jKepE","ElSNpN4shF4","https://twitter.com/macbo50?lang=en",,
"65","Kentavious","Caldwell-Pope","2581018","kentavious-caldwell-pope.jpg","4L71NyDDZuk","eO4UFgeIVHA","https://twitter.com/caldwellpope?lang=en",,
"66","Evan","Fournier","6588","os-evan-fournier.jpg","WHuPfSk9fa4","PqHKt63AX4s","https://twitter.com/EvanFourmizz",,
"67","Will","Barton","6579","willbarton.jpg","sNVg5LjQ4uY","VP-KV47RhaQ","https://twitter.com/WillTheThrillB5",,
"68","Rodney","Hood","2581177","rodneyhood.jpg","rDedr0cHDiw","nmBiFJLygaY","https://twitter.com/rodneyhood?lang=en",,
"69","Tobias","Harris","6440","tobiasharris.jpg","0VyKp8RaA3M","tLnzsLCyhIY","https://twitter.com/tobias31",,
"70","Jae","Crowder","6581","jae-crowder.gif","coeC3ThJ--0","LkTEcWskfEk","https://twitter.com/CJC9BOSS",,
"71","Alec","Burks","6429","alecburks.jpg","FFHc_fN35Hg","B65TKP5dUow","https://twitter.com/alecburks10?lang=en",,
"72","Kristaps","Porzingis","3102531","porzingis_dunk.jpg","943w4b03NVI","ViPCHaXO9-I","https://twitter.com/kporzee",,
"73","Zach","LaVine","3064440","171024-zach.jpg","MtbJGsuPgNY","RPNJ4e7C2RA","https://twitter.com/zachlavine?lang=en",,
"74","Monta","Ellis","2751","Monta-Ellis.jpg","bXxHUHBaWDo","5vVrNoDALlc","https://twitter.com/themontaellis11?lang=en",,
"75","Dwight","Howard","2384","Dwight-Howard.jpg","OLbQclc0NLY","qmTCet98VQ8","https://twitter.com/dwighthoward?lang=en",,
"76","Hassan","Whiteside","4262","whiteside_heat.jpg","wAIIsrBD4H0","FOKzUjPIkDc","https://twitter.com/youngwhiteside",,
"77","Michael","Beasley","3418","beasley.jpg","1WfK7Qv6rwY","kvmUkWSM2KA","https://twitter.com/Michael8easley",,
"78","Marcus","Morris","6462","morrismarcus.jpg","kdRx3ZoJxRY","_VZQDp9CY9Y","https://twitter.com/MookMorris2",,
"79","Deron","Williams","2798","deronwilliams.jpg","RRUT940KE1g","jcK_X8UyyXw","https://twitter.com/DeronWilliams",,
"80","Goran","Dragic","3423","gorandragic.jpg","OzyELzfujU4","5RKBI6-Czpk","https://twitter.com/goran_dragic?lang=en",,
"81","Draymond","Green","6589","draymondgreen.jpg","XFk0UMy5ADM","0MejTpaxzEo","https://twitter.com/money23green?lang=en",,
"82","Chandler","Parsons","6466","chandlerparsons.jpg","1_qmyDDVza4","5XKEwYbyxgY","https://twitter.com/chandlerparsons?lang=en",,
"83","Jamal","Crawford","165","Jamal-Crawford.jpg","jrp1-MF9RJk","G5HigUAVP9g","https://twitter.com/JCrossover",,
"84","Darren","Collison","3973","darren.jpg","ItOiGZ3M0zc","4fnYwM6x-IA","https://twitter.com/darren_collison?lang=en",,
"85","Marcin","Gortat","2758","marcin-gortat.jpg","i_fQocEeR1Q","sPSZ-5TYm8A","https://twitter.com/MGortat",,
"86","Jabari","Parker","3056600","jabariparker.jpg","LAkJabM1nF0","jxsIV-2cCec","https://twitter.com/jabariparker?lang=en",,
"87","Devin","Booker","3136193","booker-devin.jpg","YQZzdvVpm8M","qy9xl-GXfkI","https://twitter.com/DevinBook",,
"88","Arron","Afflalo","3187","afflalo.jpg","Vm_N1bINNxU","1bZ1SHIYR7s","https://twitter.com/aaa_afflalo?lang=en",,
"89","D'Angelo","Russell","3136776","russeldangelo.jpg","UCLB02TdDwQ","2JChpW6Bj88","https://twitter.com/Dloading",,
"90","DeAndre","Jordan","3442","deandre-jordan.jpg","tdyny1rK0J0","qJg2Hm8sJ6g","https://twitter.com/deandre?lang=en",,
"91","Jarrett","Jack","2768","jarrett-jack1.jpg","cPK03-sKp-o","OHLPu2RgqmY","https://twitter.com/jarrettjack03?lang=en",,
"92","Kenneth","Faried","6433","faried.jpg","y1BEdIjJZCo","-uIoVCVl7rM","https://twitter.com/KennethFaried35",,
"93","Serge","Ibaka","3439","Serge-Ibaka.jpg","uarYiMuzpro","YQrKv9riKwo","https://twitter.com/sergeibaka",,
"94","Michael","Kidd-Gilchrist","6601","kiddgilchrist.jpg","5jdybiEG7RI","VWAeHCVwRNI","https://twitter.com/mkg14?lang=en",,
"95","Jonas","Valanciunas","6477","jonas-valanciunas.jpg","UOLk8GtiGBM","gZFqDEbHt70","https://twitter.com/jvalanciunas?lang=en",,
"96","Ish","Smith","4305","ish-smith.jpg","_ESHfPPltrg","p2tlLc-1XCw","https://twitter.com/ishsmith?lang=en",,
"97","Trevor","Ariza","2426","trevorariza.jpg","wQFmz3VIG74","C3oaq0DURps","https://twitter.com/trevorariza?lang=en",,
"98","Enes","Kanter","6447","eneskanter.jpg","ECf13e1qxv8","c6GuNEBW9pY","https://twitter.com/Enes_Kanter",,
"99","Wesley","Matthews","4032","wesley-matthews.jpg","CU1n1TnRiwY","UqZKJ4e_z4E","https://twitter.com/wessywes23?lang=en",,
"100","J.R.","Smith","2444","j.r.-smith.jpg","qx-anZdIp2w","lSm_Tpi7DPw","https://twitter.com/therealjrsmith?lang=en",,
"101","Emmanuel","Mudiay","3892818","Emmanuel_Mudiay.0.jpg","wYdayLMLL-4","cKG8c85LuV4","https://twitter.com/emmanuelmudiay?lang=en",,
"102","George","Hill","3438","georgehill.jpg","pGHZhemhvmw","PT4BfFpLkGI","https://twitter.com/george_hill3?lang=en",,
"103","Gary","Harris","2999547","garyharris.jpg","81Tx9sw1RJA","DHvUdJOQ1s8","https://twitter.com/thats_g_?lang=en",,
"104","Tony","Parker","1015","tony-parker-1.jpg","1vVc7_keLcQ","w-REApiMkjw","https://twitter.com/tonyparker?lang=en",,
"105","Robert","Covington","2490620","covington_s.jpg","h3nfmSUwYeE","q07NiYqvGJQ","https://twitter.com/Holla_At_Rob33",,
"106","Joe","Johnson","1007","joejohnson.jpg","00Cp3fOQRpY","7Vi2d6Abe1E","https://twitter.com/joejohnsonice?lang=en",,
"107","Luol","Deng","2429","luoldeng.jpg","36ufqTAMz_4","yiItoGQ8RS4","https://twitter.com/luoldeng9?lang=en",,
"108","Omri","Casspi","3554","omri.jpg","ahPH9QHQnLc","h8utiC5zv8c","https://twitter.com/casspi18?lang=en",,
"109","Rajon","Rondo","3026","rondo_dribble_0.jpg","zHFwwwle-qw","GER6dEoB3Lc","https://twitter.com/rajonrondo?lang=en",,
"110","Jeremy","Lin","4299","jeremylin2.jpg","rkZEYy5bzGo","wRXTOXLtd3I","https://twitter.com/JLin7",,
"111","Otto","Porter","2594922","otto.jpg","hrZHxbOOr-0","uJGEiQ3aKoM","https://twitter.com/ottoporter?lang=en",,
"112","DeMarre","Carroll","3970","demarre-carroll-wt.jpg","GI_RQGVfDsM","-_9DTsRBtiM","https://twitter.com/DeMarreCarroll1",,
"113","Al","Jefferson","2389","Al-Jefferson.png","c9UTvilMuQg","FZWDHYG7ouI","https://twitter.com/aljefferson25?lang=en",,
"114","Jeff","Green","3209","jeffgreen.jpg","pWCJNeohoDI","T4OTLpFD9jw","https://twitter.com/unclejeffgreen?lang=en",,
"115","Julius","Randle","3064514","randle-julius.jpg","x54YllMuGMM","91xM5-crt0g","https://twitter.com/j30_randle?lang=en",,
"116","Marvin","Williams","2797","marvinwilliams.jpg","piajGoPiEQs","kSWayhQvh00","https://twitter.com/hornets",,
"117","C.J.","Miles","2778","cj-miles-trade.jpg","KQqAfSKrZB0","6wjLzh1wBvk","https://twitter.com/masfresco",,
"118","Kent","Bazemore","6637","bazemore.jpg","uOmpr_hy85I","DueryVR5O2M","https://twitter.com/24Bazemore",,
"119","Michael","Carter-Williams","2596108","michael-carter-williams.jpg","nlY88uNHZkc","RaIsGmyPG2w","https://twitter.com/mcw1?lang=en",,
"120","Markieff","Morris","6461","markieff.jpg","pUfHWMDYrYc","QBrEa3qqmPQ","https://twitter.com/kansastwin21?lang=en",,
"121","Dennis","Schroder","3032979","dennis-schroder.jpg","3ym8dKsbdco","S_j2Ka_jXlg","https://twitter.com/okcthunder?lang=en",,
"122","Harrison","Barnes","6578","harrisonbarnes.jpg","bhLNGyS7EOg","9RVVhs4S2t8","https://twitter.com/hbarnes",,
"123","Mirza","Teletovic","4385","teletovic.jpg","7TVNabn1U0M","WBC3YIfZ5-E","https://twitter.com/teletovic33?lang=en",,
"124","Nerlens","Noel","2991280","nerlens.jpg","z8oZqVJ1YQw","Mp4J44hoggE","https://twitter.com/nerlensnoel3?lang=en",,
"125","Bojan","Bogdanovic","3037789","bojanbogdanovic.jpg","CJuZuScXOEE","sYMkyz9zs4g","https://twitter.com/44bojan?lang=en",,
"126","T.J.","Warren","2982334","tj-warren-suns.jpg","qRid3LcvtI4","6TyRsW7WonA","https://twitter.com/TonyWarrenJr",,
"127","Elfrid","Payton","2583639","payton.jpg","cGHwNUKeT5c","KkxpUtl6K0o","https://twitter.com/elfrid",,
"128","Isaiah","Canaan","2490589","isaiah-canaan_h.jpg","oaMyTjEeUJQ","5SG3IwjkNHo","https://twitter.com/SiP03",,
